Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Joey Gallo",,99,348,294,50,25,9,1,15,38,35,50,2,136,3,1,0,1,2,1,0.170068,0.143678,0.390805,0.367647,0.295977,0.360544,0.291635,0.656521,0.190476,3.42919,0.243056,,-0.604831,35.5143,-5.19403,86.3207,-0.604831,4.2,-6.2973573207855225,-2.19329833984375,0.319964,999,,,,,,,318.8,3.22020202,318.8,3.22020202,,,,,,,,,,,,,,,,,,,"Joey Gallo","14128",608336
"Michael Siani","STL",128,457,407,89,68,13,3,5,53,38,38,6,108,3,2,7,0,21,6,0.218673,0.083151,0.236324,0.351852,0.288889,0.302211,0.260123,0.5911,0.0835381,6.48746,0.283784,,0.957042,35.0473,-18.4116,66.2151,0.957042,3.7,-17.505879044532776,5.379159331321716,0.319318,999,,,,,,,339.3,2.65078125,339.3,2.65078125,,,,,,,,,,,,,,,,,,,"Michael Siani","22557",672279
"Seth Brown","ATH",112,377,347,79,48,15,1,15,36,47,27,5,108,2,1,0,1,3,1,0.227666,0.071618,0.286472,0.25,0.286472,0.40634,0.295898,0.692812,0.178674,3.30041,0.284444,,-0.373261,39.7675,-4.33327,95.9017,-0.373261,-3.2,-2.1411133408546448,-7.35564398765564,0.317139,999,,,,,,,375.5,3.352678571,375.5,3.352678571,,,,,,,,,,,,,,,,,,,"Seth Brown","18171",664913
"Logan Davidson","ATH",98,405,370,82,54,17,2,9,43,44,30,8,131,3,2,0,1,4,2,0.221622,0.0740741,0.323457,0.229008,0.283951,0.351351,0.271752,0.635302,0.12973,4.45147,0.314655,,-0.633514,34.8503,-12.5259,78.9171,-0.633514,4.4,-10.403422117233276,-0.0642857551574707,0.31326,999,,,,,,,335.5,3.423469387,335.5,3.423469387,,,,,,,,,,,,,,,,,,,"Logan Davidson","sa918676",669722
"Connor Hollis",,90,375,338,81,61,15,2,3,41,36,25,8,82,8,1,3,0,8,5,0.239645,0.0666667,0.218667,0.304878,0.306452,0.322485,0.273095,0.628937,0.0828402,4.91111,0.307087,,-1.10378,32.6739,-11.1929,77.1548,-1.10378,0.5,-11.348206162452698,1.8778659105300903,0.311644,999,,,,,,,298.9,3.321111111,298.9,3.321111111,,,,,,,,,,,,,,,,,,,"Connor Hollis","sa3007870",667442
"Luis Santana",,98,383,350,75,53,13,1,8,39,40,22,10,82,9,2,0,1,3,1,0.214286,0.0574413,0.214099,0.268293,0.276762,0.325714,0.256774,0.602477,0.111429,3.77874,0.255725,,-0.389046,28.3398,-16.4628,65.6012,-0.389046,4.3,-15.463689744472504,5.707260608673096,0.310977,999,,,,,,,284.5,2.903061224,284.5,2.903061224,,,,,,,,,,,,,,,,,,,"Luis Santana","sa921577",670919
"Carson Roccaforte","KCR",118,518,472,101,65,23,5,8,57,48,41,4,143,2,3,0,0,18,9,0.213983,0.0791506,0.276062,0.286713,0.277992,0.334746,0.267409,0.612738,0.120763,6.32854,0.287037,,-0.86587,42.763,-17.8317,67.4228,-0.86587,4,-20.174388885498047,5.903292179107666,0.309493,999,,,,,,,402,3.406779661,402,3.406779661,,,,,,,,,,,,,,,,,,,"Carson Roccaforte","sa3022825",811287
"Elier Hernandez",,94,388,358,86,56,18,3,9,46,45,24,9,101,4,2,0,0,4,3,0.240223,0.0618557,0.260309,0.237624,0.293814,0.382682,0.285989,0.676496,0.142458,4.79768,0.308,,-1.00695,37.8332,-7.55425,84.9785,-1.00695,-3.7,-7.675803184509277,-2.2743680477142334,0.308182,999,,,,,,,360.7,3.837234042,360.7,3.837234042,,,,,,,,,,,,,,,,,,,"Elier Hernandez","13750",609274
"Nick Solak","PIT",90,357,318,79,58,14,1,6,40,36,30,8,69,8,1,0,0,5,2,0.248428,0.0840336,0.193277,0.434783,0.327731,0.355346,0.296594,0.683077,0.106918,4.2339,0.29918,,-0.504546,37.8578,-3.90334,86.7082,-0.504546,1.2,-6.178869068622589,-2.735185146331787,0.30719,999,,,,,,,345,3.833333333,345,3.833333333,,,,,,,,,,,,,,,,,,,"Nick Solak","19294",669256
"Yohandy Morales","WSN",78,329,299,76,53,16,2,5,33,35,25,6,78,4,1,0,0,3,2,0.254181,0.0759878,0.237082,0.320513,0.319149,0.371237,0.297845,0.690386,0.117057,3.97991,0.327189,,-0.809837,35.2197,-3.26605,90.5004,-0.809837,2.6,-4.547166168689728,-3.4442386627197266,0.30618,999,,,,,,,318.5,4.083333333,318.5,4.083333333,,,,,,,,,,,,,,,,,,,"Yohandy Morales","sa3022672",691002
