Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jeremy Peña","HOU",147,609,560,143,101,25,2,15,73,66,33,10,113,10,4,2,1,13,4,0.255357,0.0541872,0.18555,0.292035,0.306425,0.3875,0.297135,0.693925,0.132143,4.97678,0.293578,,-0.0776102,64.8462,-6.39347,94.347,-0.0776102,2.3,-4.016775071620941,9.012963056564331,2.61267,999,,,,,,,608.2,4.137414965,608.2,4.137414965,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Bo Naylor","CLE",125,451,395,87,50,20,1,16,56,56,51,6,113,2,2,1,2,6,2,0.220253,0.113082,0.250554,0.451327,0.311111,0.397468,0.306327,0.708579,0.177215,4.04167,0.264925,,-0.375578,51.359,-1.39808,100.511,-0.375578,2,-0.11187514662742615,10.285567283630371,2.60343,999,,,,,,,471.1,3.7688,471.1,3.7688,,,,,,,,,,,,,,,,,,,"Bo Naylor","21865",666310
"Kristian Campbell","BOS",122,535,472,125,79,27,4,15,74,79,50,8,117,12,1,0,1,14,6,0.26483,0.0934579,0.218692,0.42735,0.349533,0.434322,0.338168,0.783855,0.169492,5.76314,0.322581,,-0.679731,74.6355,12.0523,115.87,-0.679731,-3.7,9.034956753253937,-1.7342445850372314,2.59591,999,,,,,,,665.9,5.458196721,665.9,5.458196721,,,,,,,,,,,,,,,,,,,"Kristian Campbell","sa3023011",692225
"Francisco Alvarez","NYM",125,458,405,95,56,17,1,21,55,68,45,14,112,5,3,0,1,1,1,0.234568,0.0982533,0.244541,0.401786,0.316594,0.437037,0.315985,0.753631,0.202469,2.40341,0.269091,,-0.931109,55.716,2.14005,105.859,-0.931109,-0.9,2.2780057787895203,7.514168381690979,2.58649,999,,,,,,,528.5,4.228,528.5,4.228,,,,,,,,,,,,,,,,,,,"Francisco Alvarez","26121",682626
"Leody Taveras","TEX",144,535,483,122,83,23,3,13,66,59,44,5,110,1,4,3,0,19,5,0.252588,0.082243,0.205607,0.4,0.31391,0.393375,0.305589,0.707285,0.140787,5.92622,0.299451,,0.8042,60.6066,-1.97664,98.7654,0.8042,5.1,0.04840880632400513,7.065755367279053,2.57664,999,,,,,,,563.3,3.911805555,563.3,3.911805555,,,,,,,,,,,,,,,,,,,"Leody Taveras","18900",665750
"Josh Lowe","TBR",123,476,432,112,69,26,2,15,57,59,40,4,138,1,3,0,3,22,1,0.259259,0.0840336,0.289916,0.289855,0.321429,0.43287,0.323954,0.754299,0.173611,6.20082,0.343972,,3.1584,60.9591,5.27756,115.717,3.1584,2.5,11.718582391738892,-2.746913433074951,2.56535,999,,,,,,,585,4.75609756,585,4.75609756,,,,,,,,,,,,,,,,,,,"Josh Lowe","19953",666139
"Tommy Edman","LAD",109,446,406,104,69,22,2,11,62,50,31,7,78,4,3,2,1,17,2,0.256158,0.0695067,0.174888,0.397436,0.313063,0.401478,0.305678,0.714541,0.14532,6.47491,0.290625,,1.82442,50.5565,-1.61572,97.1072,1.82442,8,0.28161728382110596,9.638741970062256,2.55846,999,,,,,,,486.7,4.465137614,486.7,4.465137614,,,,,,,,,,,,,,,,,,,"Tommy Edman","19470",669242
"Cedric Mullins","BAL",132,508,457,110,70,22,3,15,62,60,41,3,101,5,3,2,1,22,5,0.2407,0.0807087,0.198819,0.405941,0.3083,0.400438,0.307394,0.708738,0.159737,6.27281,0.276163,,1.48312,58.2863,-1.13856,102.642,1.48312,2.8,3.019066095352173,4.66654908657074,2.5427,999,,,,,,,546.7,4.141666666,546.7,4.141666666,,,,,,,,,,,,,,,,,,,"Cedric Mullins","17929",656775
"Alex Freeland","LAD",133,595,525,121,80,25,2,14,77,72,58,5,157,10,2,0,1,17,3,0.230476,0.097479,0.263866,0.369427,0.317647,0.365714,0.300844,0.683361,0.135238,5.57807,0.300562,,1.05636,65.1317,-4.47026,93.8539,1.05636,1.5,-3.316619038581848,8.058641910552979,2.5361,999,,,,,,,596,4.481203007,596,4.481203007,,,,,,,,,,,,,,,,,,,"Alex Freeland","sa3020653",690976
"Bryson Stott","PHI",138,552,496,127,92,22,2,11,66,59,47,8,95,3,6,0,1,22,3,0.256048,0.0851449,0.172101,0.494737,0.320652,0.375,0.30051,0.695652,0.118952,5.68618,0.292929,,2.1274,60.2761,-4.29582,91.3408,2.1274,7.6,-3.5884006023406982,9.628218650817871,2.52225,999,,,,,,,577.2,4.182608695,577.2,4.182608695,,,,,,,,,,,,,,,,,,,"Bryson Stott","26294",681082
